Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0546,0.045,0.036562045988606906,0.033438646727199234
1,0.0548,0.0438,0.03647789549327272,0.03294421110056618
2,0.0546,0.0438,0.03660513447109649,0.033180602422669896
3,0.0548,0.0446,0.03702242187590195,0.033730599607678935
4,0.0538,0.0436,0.03528945788870207,0.03200962189497121
5,0.0536,0.0438,0.035640374489415476,0.032466732239330255
mean,0.05436666666666667,0.0441,0.03626622170116594,0.03296173566540262
max,0.0548,0.045,0.03702242187590195,0.033730599607678935
