Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0334,0.0248,0.021896905445572757,0.019105833108534694
1,0.0322,0.0254,0.021519413688261015,0.019337805257093072
2,0.0338,0.0254,0.022105466813535188,0.019471460367490145
3,0.032,0.025,0.02156728980673974,0.019280942748305385
4,0.0324,0.0246,0.02175667862190426,0.01924124824456616
5,0.033,0.0238,0.02183874487884825,0.01880522391270385
mean,0.0328,0.024833333333333336,0.0217807498758102,0.019207085606448886
max,0.0338,0.0254,0.022105466813535188,0.019471460367490145
