Template ID,MAE,RMSE
0,0.631,1.188696765369537
1,0.6257251450290058,1.1831652361336513
2,0.634,1.1951568934662928
3,0.64,1.198999582985749
4,0.6362,1.1959096955874218
mean,0.6333850290058012,1.1923856347085304
min,0.6257251450290058,1.1831652361336513
