Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0354,0.0218,0.019804332283138285,0.015451303090264611
1,0.0342,0.0212,0.019750391180647763,0.01558970213854646
2,0.0346,0.0216,0.01975659648327819,0.015577019380930403
3,0.036,0.0218,0.02075576658930246,0.016189340643259376
4,0.0356,0.0234,0.02081263772425963,0.016845847016686673
5,0.0346,0.0214,0.01947373246932732,0.01520640570844551
mean,0.03506666666666666,0.021866666666666663,0.020058909454992276,0.01580993632968884
max,0.036,0.0234,0.02081263772425963,0.016845847016686673
