Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0278,0.0208,0.01796643943804778,0.015742646774913466
1,0.0274,0.02,0.017832710039701296,0.015435317151013027
2,0.0284,0.0204,0.018092755202952004,0.015556403163509768
3,0.0284,0.021,0.01804861054071743,0.015716352524410154
4,0.0276,0.0202,0.017866509865029637,0.015507696074031404
5,0.0278,0.02,0.017859370629069424,0.01532903528202621
mean,0.027899999999999998,0.0204,0.017944399285919593,0.015547908494984006
max,0.0284,0.021,0.018092755202952004,0.015742646774913466
