Template ID,MAE,RMSE
0,0.8092,1.4516197849299244
1,0.81,1.4516197849299244
2,0.814,1.4578065715313537
3,0.813,1.4565026604850402
4,0.8124,1.4561593319413917
mean,0.81172,1.4547416267635271
min,0.8092,1.4516197849299244
