Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0396,0.028,0.022917799345813398,0.01913425383480336
1,0.0394,0.0262,0.02255889171944178,0.018238027081570202
2,0.0406,0.028,0.023925080064840256,0.019862809142010492
3,0.0402,0.0268,0.0227440636388264,0.018372291387798122
4,0.0414,0.0262,0.023507514453174262,0.018595638456998683
5,0.0422,0.0258,0.023526916654153858,0.01825723954374444
mean,0.04056666666666667,0.02683333333333333,0.023196710979374993,0.01874337657448755
max,0.0422,0.028,0.023925080064840256,0.019862809142010492
