Template ID,MAE,RMSE
0,0.801,1.4400694427700353
1,0.8056,1.4458215657542253
2,0.8068,1.448033148791836
3,0.8102,1.4518264359075435
4,0.8068,1.4470659971127784
mean,0.80608,1.4465633180672837
min,0.801,1.4400694427700353
