Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0342,0.0248,0.021070256757617884,0.018013632392483627
1,0.0344,0.0248,0.021002449276943495,0.017915645478588475
2,0.0344,0.0244,0.021101135346540997,0.017857239543744442
3,0.0344,0.0252,0.021165610524321136,0.018197036987345986
4,0.0334,0.0246,0.02060625216396969,0.017730805757458785
5,0.0338,0.0246,0.0210463413979186,0.018052604040676296
mean,0.0341,0.024733333333333333,0.02099867424455197,0.017961160700049602
max,0.0344,0.0252,0.021165610524321136,0.018197036987345986
