Template ID,MAE,RMSE
0,0.6246,1.182455073142316
1,0.6274,1.1851582172857766
2,0.6338,1.1910499569707393
3,0.6332,1.1914696806885183
4,0.6328,1.188949115816148
mean,0.63036,1.1878164087806997
min,0.6246,1.182455073142316
