Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.045,0.0368,0.031106402208345724,0.028462097006317327
1,0.045,0.0364,0.03141486416116185,0.028636520386461483
2,0.0456,0.0366,0.031476071125586376,0.028572296882752427
3,0.0456,0.0366,0.03155291602728345,0.028673375873659375
4,0.0452,0.0368,0.03154485134086356,0.028833681369920146
5,0.0452,0.0372,0.03157914872117331,0.02901234752185204
mean,0.04526666666666667,0.03673333333333333,0.031445708930735713,0.02869838650682714
max,0.0456,0.0372,0.03157914872117331,0.02901234752185204
