Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0644,0.0496,0.040140797478160746,0.03543746466140236
1,0.0618,0.0484,0.03968715262325853,0.03529019269819133
2,0.0644,0.0502,0.039964360057566255,0.03539066771816653
3,0.064,0.049,0.039877644047096365,0.035049429788370945
4,0.0622,0.0498,0.03952612005397792,0.03551591421375622
5,0.0644,0.0494,0.040490802222229914,0.03564551191595027
mean,0.06353333333333333,0.0494,0.03994781274704829,0.03538819683263961
max,0.0644,0.0502,0.040490802222229914,0.03564551191595027
