Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0236,0.0132,0.012960812719011531,0.00961470093359239
1,0.0232,0.0134,0.012880416142384343,0.009738873798201835
2,0.0238,0.0138,0.013010359502433837,0.00984444339646788
3,0.0236,0.014,0.01307118242144071,0.009990884204343332
4,0.024,0.0132,0.013097407548699518,0.009627130495710378
5,0.0232,0.0138,0.012871176761503296,0.0098507252654547
mean,0.023566666666666666,0.013566666666666666,0.012981892515912205,0.00977779301562842
max,0.024,0.014,0.013097407548699518,0.009990884204343332
