Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0414,0.0294,0.024564985731132846,0.02070770652382959
1,0.0388,0.0288,0.023771410436111366,0.020521426316505866
2,0.0408,0.0294,0.024465608792145075,0.02085555108695144
3,0.0388,0.026,0.02315595440177027,0.019039348683149424
4,0.04,0.0284,0.023872946603571202,0.020164925303005263
5,0.0392,0.029,0.023335812539587514,0.02003389247454388
mean,0.03983333333333333,0.028499999999999998,0.023861119750719712,0.020220475064664244
max,0.0414,0.0294,0.024564985731132846,0.02085555108695144
