Template ID,MAE,RMSE
0,0.8094,1.4523773614319386
1,0.8096,1.4540976583434828
2,0.8138,1.4585609346201482
3,0.8168,1.4620533505997653
4,0.8116,1.4557472308062276
mean,0.8122400000000001,1.4565673071603125
min,0.8094,1.4523773614319386
