Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0366,0.0252,0.021239557392388243,0.017574655384364264
1,0.0368,0.0272,0.021775337868256344,0.018702136790535936
2,0.0364,0.0274,0.021440620453813418,0.01857121239689118
3,0.0364,0.0266,0.021102523553310912,0.01795095217980332
4,0.0372,0.0254,0.02181889852392897,0.018021101552166414
5,0.037,0.0264,0.02136945726461911,0.017993588639946205
mean,0.03673333333333333,0.026366666666666667,0.021457732509386165,0.01813560782395122
max,0.0372,0.0274,0.02181889852392897,0.018702136790535936
