Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0342,0.0254,0.02178353108397101,0.018931270192608186
1,0.0338,0.0266,0.02189993334770671,0.019614458187892512
2,0.034,0.026,0.021865691585009745,0.01929075511835917
3,0.0346,0.0266,0.022221263100596425,0.01963281361866454
4,0.034,0.0258,0.021901553524455396,0.019277855896192686
5,0.0342,0.0264,0.022076503377383722,0.019551886410028824
mean,0.034133333333333335,0.02613333333333333,0.0219580793365205,0.019383173237290986
max,0.0346,0.0266,0.022221263100596425,0.01963281361866454
