Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0342,0.0288,0.024673193991611574,0.022942084759828438
1,0.0338,0.0286,0.024729597880124552,0.023041005768921492
2,0.0342,0.0288,0.02482131652641926,0.023063170772325184
3,0.0346,0.029,0.025045073739862544,0.023240541333772086
4,0.034,0.0284,0.02436947508060381,0.022561157686220332
5,0.0346,0.0288,0.025057657342738848,0.023194921096406425
mean,0.03423333333333333,0.028733333333333333,0.0247827190935601,0.023007146902912324
max,0.0346,0.029,0.025057657342738848,0.023240541333772086
