Template ID,MAE,RMSE
0,0.6342,1.191889256600629
1,0.6348,1.1934822998268555
2,0.6354,1.1947384651043926
3,0.636,1.1949895397031725
4,0.6342,1.192560271013587
mean,0.6349199999999999,1.1935319664497273
min,0.6342,1.191889256600629
