Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0502,0.038,0.029840037144892046,0.025887565056328936
1,0.0506,0.0396,0.029981715084562228,0.02644158854857528
2,0.0522,0.039,0.030286606188708924,0.026053904450977553
3,0.0518,0.0384,0.030157282958134198,0.025810333895636767
4,0.0504,0.0378,0.02959180503053647,0.025510555855141507
5,0.0508,0.0382,0.029847914154202942,0.02572750739563953
mean,0.051,0.0385,0.029950893426839462,0.025905242533716594
max,0.0522,0.0396,0.030286606188708924,0.02644158854857528
