Template ID,MAE,RMSE
0,0.641,1.1999166637729473
1,0.641,1.1999166637729473
2,0.6408,1.1998333217576516
3,0.6408,1.1998333217576516
4,0.641,1.1999166637729473
mean,0.64092,1.199883326966829
min,0.6408,1.1998333217576516
