Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0526,0.0386,0.03206105909566462,0.027623130447996146
1,0.0506,0.0394,0.031149193272016693,0.027534119523920104
2,0.0516,0.0398,0.031589429979325144,0.027822660652920047
3,0.0526,0.0394,0.03196135434619872,0.027697878592479755
4,0.052,0.0402,0.03185149161391317,0.028066732239330264
5,0.0514,0.0394,0.032265783542857814,0.028362349931760178
mean,0.051800000000000006,0.03946666666666667,0.03181305197499602,0.027851145231401083
max,0.0526,0.0402,0.032265783542857814,0.028362349931760178
