Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0438,0.0364,0.03001677257766296,0.02767786112109178
1,0.0442,0.0354,0.030154788671995066,0.027347401162596423
2,0.0446,0.0356,0.030186105428691518,0.027296216551863803
3,0.0446,0.0364,0.030503574849157895,0.02789847747354002
4,0.0436,0.0354,0.030125335911445734,0.02751363775241033
5,0.0428,0.0364,0.0296738840608498,0.027634367629546682
mean,0.04393333333333333,0.035933333333333324,0.030110076916633827,0.027561326948508172
max,0.0446,0.0364,0.030503574849157895,0.02789847747354002
